schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-1364,1364,臺中市立中平國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.7186882,24.1232835,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1842,1842,臺中市立五權國民中學,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6788925,24.1547488,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1046,1046,臺中市立光復國民中小學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6895992,24.0440899,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1043,1043,臺中市立光復國民中小學1,121,201308,G0005,地下水補注地質敏感區,臺中盆地,1,120.6899938,24.0428381,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1441,1441,臺中市立光明國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6731929,24.1328575,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1242,1242,臺中市立光榮國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6873477,24.1112250,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2218,2218,臺中市立北新國民中學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6979535,24.1798101,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1622,1622,臺中市立向上國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.6630952,24.1433041,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-648,648,臺中市立啟聰學校,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6165702,24.1617903,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2362,2362,臺中市立四張犁國民中學,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.6772327,24.1942705,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-417,417,臺中市立四育國民中學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6651262,24.1252545,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1658,1658,臺中市立大墩國民中學,121,201710,G0005,地下水補注地質敏感區,臺中盆地,1,120.6398110,24.1452790,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2230,2230,臺中市立大德國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6692738,24.1804616,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1830,1830,臺中市立大業國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6521906,24.1543922,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2455,2455,臺中市立大華國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6506265,24.2157257,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2500,2500,臺中市立大雅國民中學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.6509484,24.2242167,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1730,1730,臺中市立太平國民中學,121,202003,F0001、G0005,地下水補注地質敏感區、活動斷層地質敏感區,臺中盆地、車籠埔斷層,2,120.7372167,24.1486698,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
