facility_id,facility_name,facility_type,facility_source,source_record_id,source_date,admin_area,medical_marktype,address,agency,hotspot_name,osm_amenity,osm_office,matched_hazard_groups,matched_hazard_details,hazard_group_count,flood_point_count_300m,screening_priority,analysis_predicate,analysis_role,longitude,latitude
ITAIWAN-11606,地方稅務局羅東分局,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11606,2025-11-06,宜蘭縣,,265宜蘭縣羅東鎮興東路32號,宜蘭縣政府,地方稅務局羅東分局-1F,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 157.0, ""match_count"": 4}]",1,4,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.768673,24.678504999999998
ITAIWAN-11800,宜蘭縣警察局三星分局,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11800,2025-11-06,宜蘭縣,,266宜蘭縣三星鄉三星路五段6號,宜蘭縣政府,宜蘭縣警察局三星分局,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.65224400000001,24.666489000000002
ITAIWAN-11801,宜蘭縣警察局蘇澳分局,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11801,2025-11-06,宜蘭縣,,270宜蘭縣蘇澳鎮中山路一段252號,宜蘭縣政府,宜蘭縣警察局蘇澳分局,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 72.2, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.844795,24.595875
ITAIWAN-11667,宜蘭縣政府警察局內城派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11667,2025-11-06,宜蘭縣,,264宜蘭縣員山鄉員山路二段235號,宜蘭縣政府警察局,宜蘭縣政府警察局內城派出所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 247.6, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.69543,24.715086999999997
ITAIWAN-11699,宜蘭縣政府警察局大同分駐所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11699,2025-11-06,宜蘭縣,,267宜蘭縣大同鄉崙埤村朝陽39號,宜蘭縣政府警察局,宜蘭縣政府警察局大同分駐所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 51.9, ""intersects"": false}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 269.4, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.608941,24.677681999999997
ITAIWAN-11686,宜蘭縣政府警察局大溪派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11686,2025-11-06,宜蘭縣,,261宜蘭縣頭城鎮濱海路五段187號,宜蘭縣政府警察局,宜蘭縣政府警察局大溪派出所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 114.8, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.89228099999998,24.939673000000003
ITAIWAN-11696,宜蘭縣政府警察局大隱派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11696,2025-11-06,宜蘭縣,,266宜蘭縣三星鄉三星路二段350號,宜蘭縣政府警察局,宜蘭縣政府警察局大隱派出所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.70081199999998,24.667304
ITAIWAN-11702,宜蘭縣政府警察局寒溪派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11702,2025-11-06,宜蘭縣,,267宜蘭縣大同鄉寒溪村寒溪巷65之2號,宜蘭縣政府警察局,宜蘭縣政府警察局寒溪派出所,,,土石流影響範圍、地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}, {""group"": ""土石流影響範圍"", ""source_id"": ""176526"", ""distance_m"": 42.8, ""intersects"": false}]",2,0,複合災害暴露（優先查核）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.688793,24.610645999999992
ITAIWAN-11670,宜蘭縣政府警察局廣興派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11670,2025-11-06,宜蘭縣,,269宜蘭縣冬山鄉廣興路193號,宜蘭縣政府警察局,宜蘭縣政府警察局廣興派出所,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 87.4, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.749278,24.669748999999996
ITAIWAN-11690,宜蘭縣政府警察局新城派出所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11690,2025-11-06,宜蘭縣,,270宜蘭縣蘇澳鎮中山路二段493號,宜蘭縣政府警察局,宜蘭縣政府警察局新城派出所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 158.9, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.813543,24.614572
