rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
130,礁溪鄉,時潮村,10002050-008,113Y,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,C 中度,較高,0,0,0,0
131,礁溪鄉,玉田村,10002050-009,113Y,468.0,0.0,0.0,471.0,213.0,45.2229,0.0,0.0,C 中度,較高,0,0,0,0
132,礁溪鄉,白鵝村,10002050-012,113Y,186.0,0.0,0.0,189.0,147.0,77.7778,0.0,0.0,C 中度,較高,0,0,0,0
133,礁溪鄉,玉光村,10002050-013,113Y,260.0,0.0,0.0,263.0,163.0,61.9772,0.0,0.0,C 中度,較高,0,0,0,0
134,礁溪鄉,光武村,10002050-014,113Y,272.0,0.0,0.0,276.0,200.0,72.4638,0.0,0.0,C 中度,較高,0,0,0,0
135,礁溪鄉,吳沙村,10002050-015,113Y,595.0,0.0,0.0,597.0,132.0,22.1106,0.0,0.0,C 中度,較高,0,0,0,0
136,礁溪鄉,二結村,10002050-018,113Y,111.0,0.0,0.0,108.0,15.0,13.8889,0.0,0.0,C 中度,較高,0,0,0,0
137,壯圍鄉,美福村,10002060-002,113Y,401.0,0.0,0.0,405.0,143.0,35.3086,0.0,0.0,C 中度,較高,0,0,0,0
138,壯圍鄉,復興村,10002060-005,113Y,357.0,0.0,0.0,364.0,38.0,10.4396,0.0,0.0,C 中度,較高,0,0,0,0
139,壯圍鄉,忠孝村,10002060-008,113Y,479.0,0.0,0.0,485.0,233.0,48.0412,0.0,0.0,C 中度,較高,0,0,0,0
140,壯圍鄉,古亭村,10002060-009,113Y,341.0,0.0,0.0,345.0,162.0,46.9565,0.0,0.0,C 中度,較高,0,0,0,0
141,壯圍鄉,美城村,10002060-011,113Y,515.0,0.0,0.0,520.0,93.0,17.8846,0.0,0.0,C 中度,較高,0,0,0,0
142,壯圍鄉,新社村,10002060-012,113Y,273.0,0.0,0.0,275.0,81.0,29.4545,0.0,0.0,C 中度,較高,0,0,0,0
143,壯圍鄉,古結村,10002060-014,113Y,221.0,0.0,0.0,222.0,61.0,27.4775,0.0,0.0,C 中度,較高,0,0,0,0
144,員山鄉,尚德村,10002070-002,113Y,478.0,0.0,0.0,481.0,75.0,15.5925,0.0,0.0,C 中度,較高,0,0,0,0
145,員山鄉,惠好村,10002070-003,113Y,362.0,0.0,0.0,362.0,120.0,33.1492,0.0,0.0,C 中度,較高,0,0,0,0
146,員山鄉,七賢村,10002070-004,113Y,245.0,0.0,0.0,240.0,35.0,14.5833,0.0,0.0,C 中度,較高,0,0,0,0
147,員山鄉,深溝村,10002070-005,113Y,405.0,0.0,0.0,406.0,55.0,13.5468,0.0,0.0,C 中度,較高,0,0,0,0
148,員山鄉,頭分村,10002070-010,113Y,227.0,0.0,0.0,232.0,22.0,9.4828,0.0,0.0,C 中度,較高,0,0,0,0
149,員山鄉,湖東村,10002070-013,113Y,196.0,0.0,0.0,199.0,45.0,22.6131,0.0,0.0,C 中度,較高,0,0,0,0
150,員山鄉,湖北村,10002070-015,113Y,245.0,0.0,0.0,250.0,3.0,1.2,0.0,0.0,C 中度,較高,0,0,0,0
151,冬山鄉,珍珠村,10002080-002,113Y,344.0,0.0,0.0,346.0,184.0,53.1792,0.0,0.0,C 中度,較高,0,0,0,0
152,冬山鄉,補城村,10002080-003,113Y,235.0,0.0,0.0,236.0,236.0,100.0,0.0,0.0,C 中度,較高,0,0,0,0
